#################################
SPE_OSOAA_GoyensRuddick2022
LUT for the Sunglint Pointing Enhancement (Goyens and Ruddick, 2022, Appl Opt)
version: 1.0
date: 20220922
author: Clémence Goyens (RBINS)
rho_u = pi*L(surface reflected)/Ed (dimensionless) at theta_v as in Goyens and Ruddick, 2022, Appl Opt, Eq. 4
vza1 and vza2 are viewing zenith angle from 20 to 80° as in Goyens and Ruddick, 2022, Appl Opt, Fig. 6
w stands for wind speed in m/s ranging from 1 to 14 m/s
D is the D factor as in Goyens and Ruddick, 2022, Appl Opt, Eq. 7
SZA is the solar zenith angle ranging from 20 to 70°
rh is relative humidity (%)
aot is aot at 900 nm
amod is aerosol model accordinf to Shettle and Fenn (1979)
Shettle & Fenn model
1 : Tropospheric
2 : Urban
3 : Maritime
4 : Coastal
#########################################
"vza1","rho_u1","ws","rho_u2","vza2","D","sza","rh","aot","amod"
20,0.0531225053763441,"14",0.0375254666666667,30,0.0155970387096774,1,80,0.1,2
20,0.0250706779569893,"1",0.00304708,30,0.0220235979569893,1,80,0.15,2
20,0.0528588887096774,"2",0.00602736,30,0.0468315287096774,1,80,0.15,2
20,0.0674527575268817,"3",0.0120399066666667,30,0.0554128508602151,1,80,0.15,2
20,0.0731111844086021,"4",0.0186071666666667,30,0.0545040177419355,1,80,0.15,2
20,0.0741603021505376,"5",0.0242898666666667,30,0.049870435483871,1,80,0.15,2
20,0.072958797311828,"6",0.0287158333333333,30,0.0442429639784946,1,80,0.15,2
20,0.0707055365591398,"7",0.0319665,30,0.0387390365591398,1,80,0.15,2
20,0.0680090102150538,"8",0.0342517,30,0.0337573102150538,1,80,0.15,2
20,0.0651797424731183,"9",0.0357854,30,0.0293943424731183,1,80,0.15,2
20,0.0623775424731183,"10",0.0367488333333333,30,0.0256287091397849,1,80,0.15,2
20,0.0596815107526882,"11",0.037285,30,0.0223965107526882,1,80,0.15,2
20,0.0571280940860215,"12",0.0375033666666667,30,0.0196247274193549,1,80,0.15,2
20,0.0547306483870968,"13",0.0374865333333333,30,0.0172441150537634,1,80,0.15,2
20,0.052490047311828,"14",0.0372964333333333,30,0.0151936139784946,1,80,0.15,2
20,0.0255896784946237,"1",0.00386060666666667,30,0.021729071827957,1,80,0.2,2
20,0.0525131693548387,"2",0.00676633666666667,30,0.0457468326881721,1,80,0.2,2
20,0.066636559139785,"3",0.0126075,30,0.054029059139785,1,80,0.2,2
20,0.0720952032258065,"4",0.0189820333333333,30,0.0531131698924731,1,80,0.2,2
20,0.0730850107526882,"5",0.0244953666666667,30,0.0485896440860215,1,80,0.2,2
20,0.0718929553763441,"6",0.0287876,30,0.0431053553763441,1,80,0.2,2
20,0.0696830139784946,"7",0.0319385333333333,30,0.0377444806451613,1,80,0.2,2
20,0.067045076344086,"8",0.0341520666666667,30,0.0328930096774194,1,80,0.2,2
20,0.0642793446236559,"9",0.0356357,30,0.0286436446236559,1,80,0.2,2
20,0.0615410005376344,"10",0.0365657666666667,30,0.0249752338709677,1,80,0.2,2
20,0.0589068903225806,"11",0.0370809333333333,30,0.0218259569892473,1,80,0.2,2
20,0.0564121903225807,"12",0.0372874333333333,30,0.0191247569892473,1,80,0.2,2
20,0.0540698779569892,"13",0.0372655666666667,30,0.0168043112903226,1,80,0.2,2
20,0.0518806510752688,"14",0.0370754,30,0.0148052510752688,1,80,0.2,2
20,0.0282712037634409,"1",0.00818738333333333,30,0.0200838204301075,1,80,0.5,2
20,0.0506299650537635,"2",0.01069325,30,0.0399367150537634,1,80,0.5,2
20,0.062276688172043,"3",0.0156231333333333,30,0.0466535548387097,1,80,0.5,2
20,0.0666855650537635,"4",0.0209754,30,0.0457101650537635,1,80,0.5,2
